Eviction ID,Address,City,State,Eviction Notice Source Zipcode,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Constraints Date,Supervisor District,Neighborhoods - Analysis Boundaries,Location,Shape,data_as_of,data_loaded_at,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,Fix It Zones as of 2018-02-07,Neighborhoods
E980597,2700 Block Of 27th Street,San Francisco,CA,,03/24/1998,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,,,,,,2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,,,,,,,,,,,,,,,
E981318,,San Francisco,CA,94122,06/16/1998,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,,,,,,,,,,,,,,,
E981693,700 Block Of 49th Avenue,San Francisco,CA,94121,07/27/1998,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,,,,,,,,,,,,,,,
M152187,1300 Block Of Haigh Street,San Francisco,CA,94117,08/19/2015,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,,,,,,2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,,,,,,,,,,,,,,,
M153093,1200 Block Of Sunnyside Avenue,San Francisco,CA,94134,11/09/2015,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,,,,,,,,,,,,,,,
M111223,1600 Block Of Oakland Avenue,San Francisco,CA,94124,07/26/2011,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,,,,,,,,,,,,,,,
M130560,1300 Block Of Shelter Creek Lane,San Francisco,CA,94122,04/01/2013,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,,,,,,2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,,,,,,,,,,,,,,,
M131809,,San Francisco,CA,941,09/10/2013,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,,,,,,,,,,,,,,,
M140570,800 Block Of Downeypine Street,San Francisco,CA,94108,03/19/2014,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,,,,,,,,,,,,,,,
M141945,100 Block Of Sea Rock Drive,San Francisco,CA,94121,08/25/2014,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,,,,,,,,,,,,,,,
M011147,300 Block Of Sovan Ness Avenue,San Francisco,CA,94102,06/18/2001,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,,,,,,2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,,,,,,,,,,,,,,,
M050324,,San Francisco,CA,941,02/28/2005,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,,,,,,,,,,,,,,,
M072091,,San Francisco,CA,94118,12/20/2007,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,,,,,,2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,,,,,,,,,,,,,,,
RE01296,3400 Block Of B,San Francisco,CA,9413,02/26/1997,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,,,,,,,,,,,,,,,
RE01444,4400 Block Of 45th Ave,San Francisco,CA,9411,03/17/1997,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,,,,,,,,,,,,,,,
RE01837,3400 Block Of 30th Street,San Francisco,CA,94131,05/09/1997,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,,,,,,,,,,,,,,,
RE01883,400 Block Of Buena,San Francisco,CA,94117,05/19/1997,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,,,,,,,,,,,,,,,
RE02217,200 Block Of Bella,San Francisco,CA,94127,07/03/1997,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,,,,2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,,,,,,,,,,,,,,,
